"","user","text","n"
"148","Fisher85M","2018: The #5G Spectrum. Mid-bands proposed to run between 3.5Ghz & the 3.7-4.2GHz ranges. mmWave proposed to run between the 24-37GHz ranges. #IoT #AutonomousVehicles #SmartCity #mobilepic.twitter.com/sZ8k0AHmIW",1
"149","Forbes","First death of a pedestrian struck by an autonomous vehicle may set tone for lawyers and liability regarding self-driving cars http://on.forbes.com/6019DVdaB<U+00A0>pic.twitter.com/5s5GhhZ1Wz",1
"150","Forbes","Uber's self-driving fatality highlights issues facing AVs, especially for Tesla http://on.forbes.com/6012DVdBA<U+00A0>pic.twitter.com/12qtqV39Jj",1
"151","FOX10Phoenix","#NEW: Tempe police say a woman was struck and killed by a self-driving #Uber on Mill Avenue overnight. http://bit.ly/2u5GJ8u<U+00A0>pic.twitter.com/PWvTzUPA0m",1
"152","fox6now",". @Uber suspends self-driving car tests after pedestrian death: http://via.fox6now.com/qftG7<U+00A0>pic.twitter.com/jtMbv8LlaW",1
"153","FoxNews","JUST IN: Self-driving Uber car kills Arizona pedestrian, police say http://fxn.ws/2IAd36U<U+00A0>",1
"154","FoxNewsResearch","Uber & Self-Driving Cars: <U+0095>Uber was testing self-driving cars in Tempe, San Fran, Pittsburgh, Toronto <U+0095>Nov 2017: Uber signed deal to buy up to 24,000 self-driving cars from Volvo <U+0095>Incident is first known fatality of a pedestrian by a self-driving car https://www.foxbusiness.com/markets/uber-suspends-self-driving-car-tests-after-fatality-in-arizona<U+00A0><U+0085>",1
"155","Frank_Schaeffer","Tempe police said Uber's self-driving car was in autonomous mode at the time the vehicle hit a woman, who died at a hospital. ""Autonomous mode"" is a good description of the failed algorithms employed by Facebook too as they crashed the US's democracy and gave us Trump.",1
"156","Frank_Schaeffer","Thought Silicone Valley had all the answers? Not so fast a self-driving car from Uber Tech just struck a woman who died in Tempe, AZ., in the first known fatality of a pedestrian from a driverless vehicle just as Facebook stocks tank on news of their trashing privacy for profit.",1
"157","FrankBullitt39","BREAKING UBER AUTONOMOUS VEHICLE KILLS A PEDESTRIAN UNSAFE TECHNOLOGY BEING FORCED ON THE PUBLIC BY UBER LOBBYISTS/FINANCIAL INSTITUTIONS & GOVERNMENTS WITH A VESTED INTEREST #disgusting #uberkiller #uber #AutonomousVehicles http://bgr.com/2018/03/19/uber-self-driving-car-accident-volvo/<U+00A0><U+0085>",1
"158","FT","Uber halts self-driving car tests after fatal collision http://on.ft.com/2IBwPil<U+00A0>",1
"159","futurism","It's thought to be the first time an autonomous vehicle has killed a pedestrian. https://futurism.com/ubers-self-driving-car-just-killed-pedestrian/<U+00A0><U+0085>",1
"160","GabbbarSingh","2nd death in the history of Autonomous vehicles. #BeingHumanhttps://twitter.com/piersmorgan/status/975779381116358656<U+00A0><U+0085>",1
"161","GATEway_TRL","QUESTION: Fearful of driving in the snow? How do you feel about riding a #driverless pod in the snow? #BeastFromTheEast Experience our GATEway pods and tell us what you think http://bit.ly/GATEwayFeedback<U+00A0>. Find out more http://bit.ly/GATEwayPods<U+00A0>pic.twitter.com/Bw9wU3YCnK",1
"162","gboeing","Among the reasons that companies test self-driving cars in Arizona are its wide roads and few pedestrians. Low-complexity environments make easier navigation tests, but that does not lead to well-trained models. (There are higher complexity tests done elsewhere.)",1
"163","Gizmodo","National Transportation Safety Board confirms it is investigating the fatal self-driving Uber crash in Arizona http://gizmo.do/IR87vn8<U+00A0>",1
"164","Gizmodo","Self-driving Uber that struck and killed a Tempe woman did not show significant signs of slowing down, police said http://gizmo.do/ets0RMX<U+00A0>pic.twitter.com/vdNfUEOnCf",1
"165","grahamclark","So a corporation is a person unless that corporation's driverless car kills someone, then they are a corporation again.",1
"166","grescoe","""She was crossing outside a crosswalk."" The victim blaming spin has already begun! Self-Driving #Uber SUV Kills Arizona Pedestrian https://buff.ly/2DFXK8V<U+00A0>pic.twitter.com/z7pLkisArI",1
"167","grescoe","And there we have it: the first pedestrian death via self-driving car. And it was an Uber. And it was an SUV. https://twitter.com/CNN/status/975789936250183687<U+00A0><U+0085>",1
"168","grescoe","Remember this day: March 19 2018. Day the body count from autonomous vehicles started. A self-driving #Uber SUV has killed a pedestrian in Tempe, Arizona. http://cnn.it/2u5TSym<U+00A0>pic.twitter.com/MIenDCyJ2v",1
"169","guardian","Self-driving Uber kills Arizona woman in first fatal autonomous car crash https://trib.al/RrOV3BJ<U+00A0>",1
"170","guardiannews","Self-driving Uber kills Arizona woman in first fatal crash involving pedestrian http://ebx.sh/2IzvSHe<U+00A0>",1
"171","Gus_802","The first 10 years of self driving cars should prove exciting.",1
"172","hackapreneur","BREAKING: Self-Driving Uber Car Kills Arizona Pedestrian. Self driving cars are going to be 15+ years away. . . at this point. https://nyti.ms/2GINT5g<U+00A0> #tech #startup",1
"173","hcpioneers","Uber self-driving car kills pedestrian - https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html<U+00A0><U+0085> || #technology #TechNews #IoT #AI #MachineLearning #healthIT #hitSM #digitalhealth #Science #startups #innovation #TechWorks #disruption #DigitalTransformation #robotspic.twitter.com/wI5BottDhW",1
"174","heidijukes","#deleteuber in solidarity of the woman killed by self driving uber #arrogance #irresponsible #DeathKnellhttps://twitter.com/piersmorgan/status/975779381116358656<U+00A0><U+0085>",1
"175","hhavrilesky","Why would we let a company as crappy as Uber experiment with some of the first self-driving cars? This world transcends the known limits of stupidity in new ways every single day.",1
"176","HirokoTabuchi","Uber is suspending testing of autonomous vehicles after a self-driving car killed a pedestrian in Arizona https://nyti.ms/2u3QDYx<U+00A0>",1
"177","HotNewHipHop","A woman in Arizona was killed by an Uber-Eats self-driving car Get all the deets below https://www.hotnewhiphop.com/uber-eats-terminates-self-driving-test-after-pedestrian-dies-in-arizona-news.46009.html<U+00A0><U+0085>",1
"178","IGD_News","Self-driving Uber car, which is currently in testing in order to wipe millions of Uber drivers off the road who currently make about $3 per hour, has killed a pedestrian in #Tempe #Arizona.https://teamster.org/news/2018/03/teamsters-statement-fatal-uber-driverless-vehicle-collision<U+00A0><U+0085>",1
"179","illroots","UBER PULLS SELF-DRIVING CARS FROM PUBLIC ROADS AFTER PEDESTRIAN KILLED IN ARIZONA http://ill.is/bfw<U+00A0> [ @Uber]pic.twitter.com/6RKxpvXCPf",1
"180","Inc","One of Uber's Self-Driving Cars Hit and Killed a Woman in Arizona http://on.inc.com/2IzTKux<U+00A0>",1
"181","Inc","Uber self-driving car hits and kills pedestrian (Uber immediately halts testing nationwide) @bizzwriterhttp://on.inc.com/2IAj9UQ<U+00A0>",1
"182","Independent","Self-driving car kills pedestrian for the first time http://www.independent.co.uk/life-style/gadgets-and-tech/news/uber-self-driving-car-killed-pedestrian-death-tempe-arizona-autonomous-vehicle-a8263921.html<U+00A0><U+0085>",1
"183","IndianExpress","Self-driving Uber car kills pedestrian in Arizona http://bit.ly/2ppprhf<U+00A0>",1
"184","iotatokennews","In the continuing quest to develop a future technology, #IOTA #Volkswagen partnership will see the introduction to the market the first ever fully autonomous car. These are new technologies that will enable you customize your personal driving preferences and customized settings! pic.twitter.com/c9KcNqHRrU",1
"185","ipfconline1","#CES2018: When Will Artificial Intelligence Deliver For Humans? https://buff.ly/2DdHFJ0<U+00A0> [by @BBCRoryCJ v/ @BBC] #AI #Robots #MachineLearning #NLP #VoiceFirst #AutonomousVehicles Cc @evankirstel @DeepLearn007 @pierrepinna @MarshaCollier @Shirastweet @guzmand @psb_dc @ahierpic.twitter.com/dTg59fiBCm",1
"186","ipfconline1","Back To The Future: How Artificial Intelligence Is Reshaping Human Experience https://buff.ly/2p3rxX3<U+00A0> v/ @FinancialXpress #AI #MachineLearning #DeepLearning #NLP #IoT #AR #VR #AutonomousCars #Fintech #Insurtech #HealthTech #Automation #4IR Cc @KirkDBorne @psb_dc @JimMarouspic.twitter.com/CMkpwYVIIr",1
"187","ipfconline1","This Image Is Why #SelfDriving Cars Need Many Types of Sensors https://buff.ly/2iUHdc1<U+00A0> [by @jme_c v/ @techreview] #AI #Transportation #DeepLearning Cc @DeepLearn007 @evankirstel @SpirosMargaris @guzmand @psb_dc @IoTRecruitingpic.twitter.com/zgp2YAkkW9",1
"188","itvnews","First pedestrian death involving driverless vehicle after woman hit by self-driving Uber car http://www.itv.com/news/2018-03-19/woman-killed-by-uber-self-driving-car-in-first-pedestrian-death-involving-driverless-vehicle/<U+00A0><U+0085>pic.twitter.com/9YzwPzftS4",1
"189","Jackstilgoe","At the BBC. Here to talk on the news about self-driving cars. Found this. pic.twitter.com/hNUgwlfoRh",1
"190","jakejakeny","Yep, that's one death of a pedestrian from a self-driving car... and more than 6,000 per year killed by human drivers in the U.S. alone. Hysteria over the ""dangers"" of self-driving cars is a great example of how our emotions destroy logical thought so often. @ScottAdamsSays",1
"191","JeroenBartelse","How Self Driving Cars Work https://quote.com/auto-insurance/how-self-driving-cars-work/#.Wq6XmkfwnJ0.twitter<U+00A0><U+0085> #SelfDrivingCars #DriverlessCarspic.twitter.com/J5eMEQ7IVJ",1
"192","jkawatu","""One woman died after being hit by self-driving Uber car"" and self-driving Uber cars are suspended. Over 7,000 children killed by guns in the U.S. since the Sandy Hook tragedy & not one more gun law. #ENOUGH #GunControlNow #MarchForOurLives",1
"193","John_M15","Uber self-driving car kills woman in Arizona. This is how Skynet starts, isn't it?",1
"194","john_overholt","A reminder that #Uber is pushing autonomous cars so hard because it cannot achieve profitability with a human workforce. https://www.bloomberg.com/news/articles/2018-03-19/uber-autonomous-car-involved-in-fatal-crash-in-arizona<U+00A0><U+0085>",1
"195","JohnDCook","First fatality caused by a self-driving car http://abcnews.go.com/US/woman-killed-driving-uber-car-identified-company-suspends/story?id=53853861<U+00A0><U+0085>",1
"196","Johnludds","Jamie Carragher, Ant, self driving cars all causing havoc on the roads. Never moan about using metrolink again.......",1
"197","johnplewe","the perfect name for self-driving cars: automobiles",1
"198","JonErlichman","Google's Waymo self driving cars have driven more than 5 million miles on public roads (most in the industry) Time to complete the 1st million miles: 6 years Time to complete the 5th million: under 3 months pic.twitter.com/URHgbdLsTZ",1
"199","jonfingas","Companies: please, please don<U+0092>t send PR pitches around the Uber self-driving fatality. You<U+0092>re literally trying to profit from someone<U+0092>s death.",1
"200","joshdcaplan","UPDATE: Uber pauses self-driving car tests after crash kills woman in Tempe, Arizona pic.twitter.com/00PKnLtxCz",1
"201","JRehling","A self-driving Uber killed a pedestrian and testing has been put on hold. There's a drunk driving-related death in the US every two and a half hours and bars still have parking lots. We live in a world where people shriek in terror from a mouse and run into the jaws of a lion.",1
"202","JustinWolfers","The ethics are no different just because we know the names of those killed by self-driving cars, but not of those who are still alive because of self-driving technology. https://twitter.com/nytimes/status/975777758025535494<U+00A0><U+0085>",1
"203","jwz","Self-Driving Uber Car Kills Arizona Woman. Your life means nothing if it conflicts with maximal shareholder value. A woman in Tempe, Ariz., has died after being hit by a self-driving car operated by Uber, in what appears to be the first known death of a... http://jwz.org/b/yi9e<U+00A0>",1
"204","KellyShuster","Hot take: self-driving cars on existing auto infrastructure is the most insane example of building a huge new feature on top of unstable spaghetti code infrastructure.",1
"205","KTLA","Uber suspends self-driving operations in several cities after car in autonomous mode kills pedestrian in Arizona: reports http://on.ktla.com/pB5W8<U+00A0>",1
"206","KTVU","Woman killed after being struck by a self-driving Uber in Tempe, Arizona: http://bit.ly/2G3ef4j<U+00A0>",1
"207","ladbible","Self-driving Uber car runs over and kills pedestrian. Uber has suspended its self-driving vehicles after the horrific incident. http://www.ladbible.com/news/news-a-self-driving-uber-vehicle-kills-pedestrian-in-arizona-20180319?c=1521482303319<U+00A0><U+0085>pic.twitter.com/9QSPeibZrX",1
"208","LaurenGoode","Uber halts self-driving tests after pedestrian killed in Arizona https://www.theverge.com/2018/3/19/17139518/uber-self-driving-car-fatal-crash-tempe-arizona?utm_campaign=theverge&utm_content=entry&utm_medium=social&utm_source=twitter<U+00A0><U+0085> via @andyjayhawk",1
"209","lawcrimenews","LEGAL ANALYSIS: Uber Could be First Company Ever Charged With Manslaughter For Self-Driving Car Death http://bit.ly/2DFNgX4<U+00A0>pic.twitter.com/RUM93DQSCV",1
"210","LBC","A woman has been hit by a driverless car and killed in Arizona. After numerous accidents, would you ever trust a driverless vehicle? pic.twitter.com/NhFdcR7LrL",1
"211","LeadHealthy","Incredible! This #SelfDriving Semi-Rig Just Finished Driving from California to Florida - Human Free! #AI #machinelearning #tech #technology #programming #Programmer #javascript #WE #coding #MySQL #Python #Ruby #Swift #API #php #Linux #Oracle #SmartCity MT/ @MikeQuindazzipic.twitter.com/sBLe2r31Ee",1
"212","Lee_Saks","*UBER PAUSING AUTONOMOUS CAR TESTS IN ALL CITIES AFTER FATALITY: BBG yeah no one saw that coming",1
"213","leftoblique","Uber self-driving car kills pedestrian. Just on a product liability basis, this could be the end of Uber. http://money.cnn.com/2018/03/19/technology/uber-autonomous-car-fatal-crash/index.html<U+00A0><U+0085>",1
"214","lennythepen","Woman was hit and killed by a self-driving, as she crossed the street. Who will be charged with dangerous driving? Who is to blame? Who made the decision to put that car on a populated road, unmanned, to kill a human being. #SheIsNotCollateralDamagehttp://www.bbc.co.uk/news/business-43459156<U+00A0><U+0085>",1
"215","lepas","so cool how we're using technology to build self-driving cars that both steal our jobs and murder us. Two birds with one stone.",1
"216","LiberalCaliGal","It was inevitable someone would blame the victim and not the fact that driverless cars aren<U+0092>t capable of critical thinking to avoid running over a person who stepped over a line.",1
"217","MacRumors","Self-Driving Uber Car Kills Pedestrian in Arizona, Accident Could Have Implications for Autonomous Vehicle Testing https://www.macrumors.com/2018/03/19/self-driving-uber-car-kills-pedestrian/<U+00A0><U+0085> by @julipulipic.twitter.com/BFDS1Og9eX",1
"218","mashable","Update: Tempe police say the self-driving Uber car that hit and killed a woman was going 40 mph http://on.mash.to/2pu1u8H<U+00A0>pic.twitter.com/5HGlDf2pZa",1
"219","Maui_Speaks","I see these cars every day in Scottsdale. The one thing they seem to have a problem with is when humans do something unpredictable. That intuition that we all have when driving can never be programmed. Self-driving car involved in deadly Tempe crash https://www.abc15.com/news/region-southeast-valley/tempe/tempe-police-investigating-self-driving-uber-car-involved-in-crash-overnight<U+00A0><U+0085>",1
"220","MCins_","#driverless world will be not tomorrow https://www.linkedin.com/feed/update/urn:li:activity:6381607940612333568<U+00A0><U+0085> #ai #insurtech #insurance #auto #telematics @JimMarous @DeepLearn007 @SpirosMargaris @st_weiss @insurtechtalk @nigelwalsh @OctoUSA @FGraillot @andi_staub @sbmeunier @SabineVdL @TheRudinGroup @insurtechforum @psb_dcpic.twitter.com/LwKeTK3WBU",1
"221","MHiesboeck","To make #autonomous cars a reality, we are learning from #ants #ml #AI #automotive [video] @chboursin @andi_staub @IoTRecruiting @evankirstel @Ronald_vanLoon @MikeQuindazzi @SpirosMargaris @JimMarous @GlenGilmore @helene_wpli @TheMisterFavor @Fisher85M @kuriharan @KirkDBornepic.twitter.com/RGHOZuui4j",1
"222","michaelluo","Worth reading this 2016 @NewYorker piece by @SimonParkin on a previous fatal accident involving a self-driving car. https://www.newyorker.com/tech/elements/learning-to-trust-a-self-driving-car<U+00A0><U+0085>",1
"223","MikeQuindazzi","Next is #AutonomousVehicles? @GM plans to release #SelfDrivingCars with NO steering wheel or petals In 2019! #AI #MachineLearning #DeepLearning #IoT #ComputerVision pic.twitter.com/RJWSQL024l",1
"224","MikeQuindazzi","The A-to-Z Guide to #InternetOfThings Terms via @TamaraDull at @SASsoftware. Hashtags #Analytics #AI #IoT #DataScience #Smarthomes #SmartCities #Robotics #Drones #AutonomousVehicles Report http://bit.ly/2IxDrOy<U+00A0>pic.twitter.com/pMIwxnA9Lv",1
"225","MikeQuindazzi","This Embark #selfdriving semi-truck just completed a 2,400 mile test drive from California to Florida without relying on a #human. #AI #ArtificialIntelligence #MachineLearning #Sensors #AutonomousVehiclespic.twitter.com/FOPu0qCj6P",1
"226","mikerugnetta","Apparent first fatal pedestrian related accident involving a self-driving car https://twitter.com/NPR/status/975790534391300096<U+00A0><U+0085>",1
"227","MilesToGo13","Last week Alexa started laughing by herself for no reason Today a self-driving Uber killed a cyclist If you don't talk to your loved ones about surviving the robot holocaust, the robots will.",1
"228","MitziEpstein","#DriverlessCars are on our streets in Chandler and Tempe. Our children are need precautions. Has the governor's ""Self-Driving Vehicle Oversight Committee"" has not met in over a year? I am asking questions and digging for answers. #Uber crash. https://bloom.bg/2GLf3c4<U+00A0>",1
"229","molleindustria","As Uber's self-driving cars claim their first victim it may be a good time to revisit the history of ""jaywalking"", a PR move by the car industry to take public space away from pedestrians: https://99percentinvisible.org/episode/episode-76-the-modern-moloch/<U+00A0><U+0085>https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html?mtrref=undefined<U+00A0><U+0085>",1
"230","mslaurabliss","For those already leery of self-driving vehicles, the Tempe incident could feed further misgivings about an emerging technology. But if history is any indication, it probably won<U+0092>t halt its momentum. https://www.citylab.com/transportation/2018/03/first-pedestrian-killed-by-a-self-driving-car-uber/555956/<U+00A0><U+0085>",1
"231","mtsw","""Just let corporations do unregulated tests on the unsuspecting public even if some people die"" would be a psychotic attitude to have about, say, a potentially life saving drug, but for driverless cars? What's wrong with people? https://twitter.com/mykenk/status/975877701876764674<U+00A0><U+0085>",1
"232","mtsw","No one actually knows how criminal liability for autonomous vehicle programmers works! Would've been a good thing to work out in state legislatures ahead of time but ""move fast and break things!"" I guess https://twitter.com/guybranum/status/975821227364302848<U+00A0><U+0085>",1
"233","NACTO","Last night, an autonomous vehicle hit and killed a pedestrian in Tempe, AZ. We do not know much yet about this incident<U+0097>which is believed to be the first time someone walking or biking was killed by a vehicle operating autonomously in the U.S. https://nacto.org/2018/03/19/statement-on-automated-vehicle-fatality/<U+00A0><U+0085>",1
"234","NatashaFatah","#BREAKING Self-driving Uber strikes, kills woman crossing road in Arizona Police say the car was on autonomous mode with a driver behind the wheel when it hit the pedestrian http://azc.cc/2tXszqg<U+00A0>",1
"235","NBCNews","A self-driving Uber vehicle struck and killed a pedestrian in a late-night accident in Tempe, Arizona, police said. Preliminary investigation shows that the vehicle was traveling at approximately 40mph, with no significant signs of slowing down. MORE: http://nbcnews.to/2G3Viym<U+00A0>pic.twitter.com/Q1lUw4qmg0",1
"236","NBCNews","JUST IN: Police: Female pedestrian has died after being hit by an Uber self-driving vehicle, which was rolling in autonomous mode with a driver behind the wheel, while she was walking outside of crosswalk while crossing road in Tempe, Arizona. http://nbcnews.to/2psou7E<U+00A0>",1
"237","NBCNightlyNews","A self-driving Uber car was involved in a fatal accident in Arizona. @Miguelnbc has the story.pic.twitter.com/2d69my3a0i",1
"238","ndtv","Self-driving Uber car kills US woman in first autonomous vehicle death http://www.ndtv.com/world-news/self-driving-uber-car-kills-us-woman-in-first-autonomous-vehicle-death-1825963<U+00A0><U+0085>pic.twitter.com/lRTUKUSFtj",1
"239","newlinla","Obviously, the solution is to arm every pedestrian with a self-driving car of their own. https://twitter.com/NPR/status/975786364892602368<U+00A0><U+0085>",1
"240","NewsandGuts","Uber suspends testing of its self-driving cars after one kills a pedestrian in Arizona. https://www.newsandguts.com/link/wapo-self-driving-uber-strikes-kills-pedestrian/<U+00A0><U+0085> #selfdrivingcars #Uber",1
"241","newscientist","An Uber self-driving car has killed a pedestrian in Arizona http://bit.ly/2GHyYbx<U+00A0>pic.twitter.com/xm9VITpXId",1
"242","NicFlatow","In Arizona, where the first pedestrian was killed by a driverless car, there is almost no regulation of testing http://ow.ly/g83k30j2yhz<U+00A0>",1
"243","nickwingfield","Tech industry: autonomous vehicles are much safer than human driven cars. Regular person: I don't want to be killed by your beta test https://www.nytimes.com/2018/03/19/technology/uber-driverless-fatality.html?action=Click&contentCollection=BreakingNews&contentID=66696641&pgtype=article<U+00A0><U+0085>",1
"244","NoelSharkey","DEATH by driverless car: I<U+0092>ll be on Sky News live to talk about it at 9.20pm tonight. We have warned not to rush self drive cars -they are NOT READY YET!! How many more deaths before they take heed. Or stop a great development http://www.bbc.com/news/business-43459156<U+00A0><U+0085>",1
"245","Northeastern","Following a fatal crash, @Uber halts autonomous car operations in several cities. Only 25% of Americans would feel comfortable in a self-driving car revealed a recent #Northeastern @Gallup poll.http://northestrn.me/2FVju2K<U+00A0>",1
"246","NPR","A self-driving car operated by Uber struck and killed a passenger in Arizona. The company has halted its use of autonomous vehicles. http://n.pr/2DFcUvb<U+00A0>",1
"247","NPR","BREAKING: Uber is suspending tests of autonomous vehicles after a woman in Tempe, Ariz., was struck and killed by a self-driving Uber vehicle",1
"248","NPR","Uber says it is pausing tests of self-driving cars in Pittsburgh, San Francisco, Toronto and the Phoenix area.",1
"249","NPR","Uber Suspends Self-Driving Tests After Pedestrian Is Killed In Arizona http://n.pr/2tZIzbh<U+00A0>",1
"250","NQRW","The only way cars can move efficiently in cities is if pedestrians are scared to get in their way. Either they kill people regularly, or there's dystopic law enforcement against jaywalkers. Autonomous cars are dependent upon one of these things being the case. https://twitter.com/khoven/status/975778655174643712<U+00A0><U+0085>",1
"251","NYDailyNews","Uber is temporarily stopping its self-driving car program after one of its vehicles fatally struck a woman in Arizona. http://nydn.us/2tY99RU<U+00A0>",1
"252","nytimes","A New York Times reader reacts to the news that a woman died after being hit by a self-driving Uber car http://nyti.ms/2ICnpD5<U+00A0>pic.twitter.com/XeQjIBXAdC",1
"253","nytimes","Breaking News: A woman died after being hit by a self-driving Uber car in Tempe, Arizona. It<U+0092>s the first known pedestrian fatality from a driverless vehicle. http://nyti.ms/2FNANqs<U+00A0>",1
"254","OECD","With driverless cars & robots reading radiology scans, #AI is already revolutionising our lives. Is it too late for humans to shape its impact? Watch, then read + on #GoingDigital http://bit.ly/2FJHNED<U+00A0> #POLITICOAIpic.twitter.com/fkJxySdo44",1
"255","olivercameron","Why low-latency processing matters in self-driving cars (as demonstrated by @Cruise).pic.twitter.com/Vq4Bh2pCgI",1
"256","omgSMART","Do the math: Just 1 very unfortunate fatality with a self-driving Uber driven thousands of test miles, versus the 5,000+ pedestrian vs car deaths last year by human drivers? Face it, people make more mistakes. #self driving uber",1
"257","panherring","Self-driving cars should not be allowed on the road until they are 21 years old.",1
"258","parismarx","Tesla was the first company to have a self-driving vehicle kill its driver. Uber is the first to have a self-driving vehicle kill a pedestrian. They also have some of the worst tech in the industry. Coincidence? pic.twitter.com/EXKXtPRIkA",1
"259","people","Self-Driving Uber Car Kills 49-Year-Old Arizona Woman: 'Our Hearts Go Out to the Victim's Family' http://peoplem.ag/QOvGnYe<U+00A0>",1
"260","PerezHilton","One of @Uber's self-driving cars has killed a pedestrian! http://goo.gl/uxgGeJ<U+00A0>pic.twitter.com/dX5xNsmrHe",1
"261","peterwalker99","This is the future: when autonomous cars kill, the instant inference will be that the pedestrian or cyclist was somehow at fault. https://twitter.com/rkwinvisibleman/status/975790204589092864<U+00A0><U+0085>",1
"262","peterwsinger","Notable to today's death by driverless car is that the companies have been lobbying for laws that would protect them from lawsuits and force arbitration in lieu of class action lawsuits; the House version already passed http://money.cnn.com/2018/03/14/technology/self-driving-car-senate-loophole/index.html<U+00A0><U+0085>",1
"263","peterwsinger","We just crossed an important moment in technology and legal history: This is the first person to be killed by a self-driving robotic car. (The first person killed by a factory robot accident was in 1979) https://twitter.com/daiwaka/status/975777532699017218<U+00A0><U+0085>",1
"264","pewresearch","Driverless vehicle enthusiasts differ dramatically in their views and attitudes toward this technology from those who are more hesitant http://pewrsr.ch/2kmJ1LG<U+00A0>pic.twitter.com/VJT3sAx7HA",1
"265","Pflax1","Here's some pretty important context of why a cyclist wound up getting killed by a self-driving car in Arizona and not California. https://www.nytimes.com/2017/11/11/technology/arizona-tech-industry-favorite-self-driving-hub.html<U+00A0><U+0085>pic.twitter.com/IOyLkl4ApC",1
"266","Pflax1","Let me state the obvious. Just like most drivers have trouble understanding behavior of cyclists, so do the people programming autonomous vehicles. Cyclists are out on the street as technology is being beta tested in 4000-pound vehicles. There's got to be a better way.",1
"267","philabikes","We do hope that everyone throwing a fuss about that self-driving car killing a person remembers to do the same for the other 100+ people killed by human-driving cars in the US yesterday and works to ban all cars.",1
"268","physorg_com","Uber suspends self-driving car tests after pedestrian death https://phys.org/news/2018-03-uber-self-driving-car-pedestrian-death.html<U+00A0><U+0085>",1
"269","piersmorgan","BREAKING: A self-driving Uber test car has killed a pedestrian in Arizona while in 'autonomous mode'.",1
"270","ply4hyre","This is an Uber car that is also now driverless.......oh and roofless. pic.twitter.com/iQ8eJMROAo",1
"271","polly","Here's the full statement from Tempe police on the Uber autonomous vehicle crash which left a woman dead: pic.twitter.com/qk8dNFPki1",1
"272","PopSci","Last night, a self-driving cab from an Uber test fleet struck and killed a pedestrian in Tempe, Arizona. http://pops.ci/HixPmK<U+00A0>",1
"273","ProfBainbridge","So what? There were 37,461 traffic fatalities in 2016. So the question is not whether self-driving cars will kill people. They will. The question is whether traffic fatalities will go down. But most people are too blind to think about it that way. https://twitter.com/AP/status/975783047688835074<U+00A0><U+0085>",1
"274","ProfJeffJarviss","Calm Down Everyone, The Loss of One Life Is A Small Price to Pay for Self-Driving Cars [new post on @Medium]",1
"275","ProfJeffJarviss","I, for one, would be delighted to be hit by a self-driving car. It's a personal branding opportunity.",1
"276","ProfRayWills",". @Daimler to electrify entire portfolio of @MercedesBenz by 2022 The CASE for change Not just electrics: also about #connectivity, #AI and #selfdriving, flexible #shared use + #EVs #SoutheastAsia key - including battery production in Thailand https://electriccarsreport.com/2018/03/mercedes-benz-pushes-electric-initiative-in-south-east-asia-with-battery-production-in-thailand/<U+00A0><U+0085> @ECarsReport pic.twitter.com/oRbWXbJ5ZO",1
"277","purpleidea","Nice commentary from @jwz about the @Uber ""death by autonomous car"". Only lacking in that it fails to mention that proprietary driving software can't be inspected for technical incompetence (eg: Therac-25) or even intentional kill instructions. https://www.jwz.org/blog/2018/03/self-driving-uber-car-kills-arizona-woman/<U+00A0><U+0085>",1
"278","QuentinWillson","Tragic cyclist death in Arizona with Uber self driving test vehicle. I<U+0092>ve already told MPs in UK that we mustn<U+0092>t rush this tech and it may not be ready for public roads for at least another decade.",1
"279","QuintusCurtius","Never liked this ""self-driving"" car and truck bullshit. Nothing more than an automation scam by the plutocrats to cut costs, avoid paying for drivers, and--of course--keeping the profits for themselves.",1
"280","rcalo","btw did the driverless car have to make a nuanced moral decision in the split second before collision? Of course not.",1
"281","rcalo","Uber will settle this driverless crash. And fast. It's not ready for a test case.",1
"282","real_rich_K","Self-driving cars are the future, want it or not! There were tens of thousands of US automotive deaths involving human drivers last year alone. Only 1 (ONE!) fatality from a self-driving Uber, and the triggered Twitter pitchfork mob already wants to ban/prohibit the technology!",1
"283","RealJamesWoods","Why on earth do we need more regulation in our lives? Self-driving cars are simply another way government can track our lives. We need self-driving cars so that, what, we can have more time to text behind the wheel? I hope this family sues those negligent. http://www.foxnews.com/us/2018/03/19/self-driving-uber-car-kills-arizona-pedestrian-police-say.html<U+00A0><U+0085>",1
"284","RealSaavedra","#BREAKING: Self-driving Uber car runs over and kills a pedestrian in Arizona and forces the company to pull its fleet of test vehicles from the streets http://www.dailymail.co.uk/news/article-5519433/Self-driving-Uber-car-runs-kills-pedestrian-Arizona.html#ixzz5ADS1c87W<U+00A0><U+0085>",1
"285","reason","Uber self-driving car hits and kills pedestrian in Arizona: Will not slow down self-driving revolution. http://bit.ly/2FVfJtX<U+00A0>",1
"286","ReformedBroker","Of those 9 million trucking industry jobs, many will convert to something new in the automated future of the industry. Many will not. The most important thing to remember is that self-driving trucks will not need to be perfect to take over. Just better.",1
